school_name,borough_x,building_code_x,average_math_x,average_reading_x,average_writing_x,percent_tested_x,borough_y,building_code_y,average_math_y,average_reading_y,average_writing_y,percent_tested_y
A. Philip Randolph Campus High School,Manhattan,M540,459,453,447,74.0,Manhattan,M540,459,453,447,74.0
ACORN Community High School,Brooklyn,K909,379,395,385,61.3,Brooklyn,K909,379,395,385,61.3
Abraham Lincoln High School,Brooklyn,K410,441,422,422,54.9,Brooklyn,K410,441,422,422,54.9
Academy for Careers in Television and Film,Queens,Q404,444,458,444,95.0,Queens,Q404,444,458,444,95.0
Academy for College Preparation and Career Exploration (College Board),Brooklyn,K465,386,397,393,57.3,Brooklyn,K465,386,397,393,57.3
Academy for Conservation and the Environment,Brooklyn,K515,381,397,390,50.8,Brooklyn,K515,381,397,390,50.8
Academy for Environmental Leadership,Brooklyn,K480,365,366,348,71.3,Brooklyn,K480,365,366,348,71.3
Academy for Health Careers,Brooklyn,K625,406,405,396,48.1,Brooklyn,K625,406,405,396,48.1
Academy for Language and Technology,Bronx,X082,371,334,348,78.9,Bronx,X082,371,334,348,78.9
Academy for Scholarship and Entrepreneurship (College Board),Bronx,X362,392,408,400,63.4,Bronx,X362,392,408,400,63.4
Academy for Social Action (College Board),Manhattan,M043,357,349,365,54.0,Manhattan,M043,357,349,365,54.0
Academy for Young Writers,Brooklyn,K422,382,413,391,81.2,Brooklyn,K422,382,413,391,81.2
Academy of American Studies,Queens,Q451,495,482,479,84.8,Queens,Q451,495,482,479,84.8
Academy of Finance and Enterprise,Queens,Q735,489,456,459,92.7,Queens,Q735,489,456,459,92.7
Academy of Hospitality and Tourism,Brooklyn,K465,374,385,375,62.0,Brooklyn,K465,374,385,375,62.0
Academy of Innovative Technology,Brooklyn,K420,395,376,359,57.4,Brooklyn,K420,395,376,359,57.4
Academy of Medical Technology (College Board),Queens,Q465,422,424,415,67.6,Queens,Q465,422,424,415,67.6
Academy of Urban Planning,Brooklyn,K480,392,374,379,41.9,Brooklyn,K480,392,374,379,41.9
Alfred E. Smith Career and Technical Education High School,Bronx,X600,390,373,371,29.8,Bronx,X600,390,373,371,29.8
All City Leadership Secondary School,Brooklyn,K554,467,446,448,85.0,Brooklyn,K554,467,446,448,85.0
Antonia Pantoja Preparatory Academy (College Board),Bronx,X450,435,415,423,44.9,Bronx,X450,435,415,423,44.9
"Archimedes Academy for Math, Science, and Technology Applications",Bronx,X174,418,430,403,,Bronx,X174,418,430,403,
Art and Design High School,Manhattan,M488,455,475,458,70.1,Manhattan,M488,455,475,458,70.1
Arts and Media Preparatory Academy,Brooklyn,K232,370,383,374,64.2,Brooklyn,K232,370,383,374,64.2
Astor Collegiate Academy,Bronx,X415,422,417,409,57.9,Bronx,X415,422,417,409,57.9
August Martin High School,Queens,Q400,366,372,364,26.3,Queens,Q400,366,372,364,26.3
Automotive High School,Brooklyn,K610,367,381,328,31.6,Brooklyn,K610,367,381,328,31.6
Aviation Career and Technical Education High School,Queens,Q610,511,464,456,78.6,Queens,Q610,511,464,456,78.6
Baccalaureate School for Global Education,Queens,Q798,633,620,628,98.5,Queens,Q798,633,620,628,98.5
Banana Kelly High School,Bronx,X039,378,391,378,25.7,Bronx,X039,378,391,378,25.7
Bard High School Early College,Manhattan,M097,634,641,639,70.8,Manhattan,M097,634,641,639,70.8
Bard High School Early College Queens,Queens,Q735,631,598,610,94.1,Queens,Q735,631,598,610,94.1
Baruch College Campus High School,Manhattan,M874,592,526,531,94.3,Manhattan,M874,592,526,531,94.3
Bayside High School,Queens,Q405,523,479,485,76.7,Queens,Q405,523,479,485,76.7
Beacon High School,Manhattan,M837,583,586,595,82.8,Manhattan,M837,583,586,595,82.8
Bedford Academy High School,Brooklyn,K994,505,464,456,96.2,Brooklyn,K994,505,464,456,96.2
Belmont Preparatory High School,Bronx,X435,413,408,402,55.3,Bronx,X435,413,408,402,55.3
Benjamin Banneker Academy,Brooklyn,K914,479,484,472,85.5,Brooklyn,K914,479,484,472,85.5
Benjamin N. Cardozo High School,Queens,Q415,563,505,510,75.6,Queens,Q415,563,505,510,75.6
Boys and Girls High School,Brooklyn,K455,399,392,394,,Brooklyn,K455,399,392,394,
Bronx Academy of Health Careers,Bronx,X425,386,380,391,59.4,Bronx,X425,386,380,391,59.4
Bronx Aerospace High School,Bronx,X425,403,410,393,50.5,Bronx,X425,403,410,393,50.5
Bronx Career and College Preparatory High School,Bronx,X158,370,379,381,40.7,Bronx,X158,370,379,381,40.7
Bronx Center for Science and Mathematics,Bronx,X002,513,468,485,73.9,Bronx,X002,513,468,485,73.9
